iter	Passed	Remaining
0	1	100
1	1	89
2	2	83
3	3	78
4	4	79
5	5	80
6	6	84
7	7	81
8	7	80
9	8	78
10	9	76
11	10	75
12	11	73
13	11	72
14	12	71
15	13	70
16	14	69
17	14	68
18	15	67
19	16	66
20	17	65
21	18	65
22	19	65
23	20	65
24	21	64
25	22	63
26	23	62
27	23	61
28	24	60
29	25	59
30	26	58
31	26	57
32	27	56
33	28	55
34	29	54
35	30	53
36	30	52
37	31	51
38	32	51
39	33	50
40	34	49
41	34	47
42	35	46
43	36	46
44	36	45
45	37	44
46	38	43
47	39	42
48	40	41
49	40	40
50	41	39
51	42	39
52	43	38
53	44	37
54	44	36
55	45	35
56	46	35
57	47	34
58	48	33
59	49	32
60	50	32
61	50	31
62	51	30
63	52	29
64	53	28
65	54	27
66	54	27
67	55	26
68	56	25
69	57	24
70	58	23
71	58	22
72	59	22
73	60	21
74	61	20
75	62	19
76	62	18
77	63	17
78	64	17
79	65	16
80	66	15
81	66	14
82	67	13
83	68	13
84	69	12
85	69	11
86	70	10
87	71	9
88	72	8
89	72	8
90	73	7
91	74	6
92	75	5
93	76	4
94	76	4
95	77	3
96	78	2
97	79	1
98	79	0
99	80	0
